iter	RMSE
0	0.7125335188
1	0.6096565605
2	0.546488342
3	0.506106717
4	0.4788392514
5	0.4624249797
6	0.4497681422
7	0.4383197732
8	0.428908832
9	0.4228504597
10	0.4161304152
11	0.4121440091
12	0.4083681086
13	0.4051846516
14	0.4027874535
15	0.400615237
16	0.3984598441
17	0.396716874
18	0.3953869723
19	0.3940263142
20	0.3928839106
21	0.3912596798
22	0.3897793159
23	0.3884638892
24	0.3871626028
25	0.3859060936
26	0.3850848624
27	0.3841044383
28	0.383339147
29	0.3826596672
30	0.3817919877
31	0.3812051719
32	0.3800176762
33	0.3792194908
34	0.3787775503
35	0.3781801316
36	0.3775687373
37	0.3770402754
38	0.3763594806
39	0.3758131394
40	0.375203231
41	0.3746732882
42	0.3743089298
43	0.3738752872
44	0.3732197785
45	0.3725184496
46	0.3719762385
47	0.3716716257
48	0.3712870501
49	0.3709374802
50	0.3706158582
51	0.3703193337
52	0.3700570845
53	0.3697186866
54	0.3693311993
55	0.3690174888
56	0.3686400366
57	0.3683549256
58	0.3679818939
59	0.3677348203
60	0.3671642563
61	0.3666668671
62	0.3661622634
63	0.36581981
64	0.3656063548
65	0.3652736482
66	0.3649208484
67	0.3644760333
68	0.3642305945
69	0.3640492924
70	0.3638364454
71	0.3636886832
72	0.363389411
73	0.3631877208
74	0.3628606245
75	0.3626403112
76	0.3623411369
77	0.362098175
78	0.3619494349
79	0.3617024418
80	0.361462949
81	0.3611734523
82	0.3608478875
83	0.3607041289
84	0.3604454039
85	0.3602596295
86	0.3601506099
87	0.3599886937
88	0.359673671
89	0.3594565653
90	0.3592418435
91	0.3589169297
92	0.3587565927
93	0.3585529094
94	0.3584247082
95	0.3583205434
96	0.3581370775
97	0.3578671523
98	0.3576420823
99	0.3574761551
100	0.3573859029
101	0.3571182579
102	0.3568604787
103	0.3566932652
104	0.3566080275
105	0.3564162109
106	0.356245376
107	0.3561001079
108	0.3559040342
109	0.3557381637
110	0.3555339399
111	0.3553422304
112	0.3551912552
113	0.3549846304
114	0.354798391
115	0.3546879165
116	0.3545670025
117	0.3544159352
118	0.3542785332
119	0.3541817741
120	0.3539930472
121	0.3537318969
122	0.3536609461
123	0.3535315021
124	0.3533641448
125	0.3532691178
126	0.3530736167
127	0.3530055375
128	0.3528769058
129	0.3526414887
130	0.3525338668
131	0.3523627572
132	0.3522578827
133	0.3521646198
134	0.3520394683
135	0.3519123678
136	0.3518488968
137	0.3517653385
138	0.351645838
139	0.3514948775
140	0.3514300704
141	0.3513338246
142	0.3511889935
143	0.3511221192
144	0.3510511994
145	0.3509864352
146	0.3508224122
147	0.3506635546
148	0.3505579513
149	0.350436769
150	0.3503696016
151	0.3502650253
152	0.3501165814
153	0.3500348424
154	0.349910005
155	0.3498114478
156	0.3497008568
157	0.3496708518
158	0.3495727314
159	0.3494087636
160	0.3493015998
161	0.3492063878
162	0.3490855115
163	0.3489111292
164	0.3487975676
165	0.3486352605
166	0.3485530479
167	0.3484722479
168	0.3483967865
169	0.3483056859
170	0.3482268502
171	0.3481925691
172	0.3481362874
173	0.3480691415
174	0.3479598912
175	0.3478954369
176	0.3478385048
177	0.3477629345
178	0.3476923407
179	0.3475469915
180	0.3474728201
181	0.3474079528
182	0.3472869882
183	0.3471859395
184	0.3471185284
185	0.3470313905
186	0.3469509545
187	0.346934373
188	0.3468404487
189	0.3467943985
190	0.346731852
191	0.3466329669
192	0.3465411255
193	0.346512058
194	0.3464576575
195	0.3463824306
196	0.346281985
197	0.3461801196
198	0.3460902844
199	0.3460080731
200	0.3459202561
201	0.3458521062
202	0.3457671261
203	0.345685769
204	0.3456206611
205	0.3455570706
206	0.3454547462
207	0.3453468242
208	0.3452524319
209	0.3451760848
210	0.3450815998
211	0.3450259514
212	0.3449939838
213	0.3449240341
214	0.3448288719
215	0.3447695712
216	0.3446955177
217	0.3446110494
218	0.3445399265
219	0.3444511157
220	0.3443966393
221	0.3443164118
222	0.3442153895
223	0.3441423771
224	0.344056482
225	0.3439972118
226	0.3439158211
227	0.3438500399
228	0.3437854701
229	0.3437263498
230	0.3436321282
231	0.3435541253
232	0.3435031126
233	0.3433939189
234	0.3433373587
235	0.3432610752
236	0.3432013454
237	0.3431410767
238	0.3430967366
239	0.3430076008
240	0.3429454548
241	0.3429158972
242	0.3428737293
243	0.3427983467
244	0.3427241867
245	0.3426396357
246	0.3425682856
247	0.3425216005
248	0.3424357595
249	0.3423947171
250	0.3423315643
251	0.3422798682
252	0.3421752528
253	0.342116884
254	0.3420519637
255	0.3420079058
256	0.3419430067
257	0.341896589
258	0.3418454342
259	0.3417730761
260	0.3417430243
261	0.3416648854
262	0.3416113816
263	0.3415698534
264	0.3414820943
265	0.3414030173
266	0.3413764195
267	0.3413127457
268	0.3412654031
269	0.341212428
270	0.3411618228
271	0.3411238805
272	0.3411060218
273	0.3410128572
274	0.3409350681
275	0.3408741476
276	0.3408368911
277	0.3407782217
278	0.3407389705
279	0.3406651697
280	0.3406198014
281	0.3405553647
282	0.3404944872
283	0.3404409698
284	0.3403857904
285	0.3403498203
286	0.3402820281
287	0.3402631682
288	0.3401976434
289	0.3401456641
290	0.3400971869
291	0.3400247672
292	0.3399902343
293	0.3399044484
294	0.3398556478
295	0.3397894872
296	0.3397301631
297	0.3397117028
298	0.3396557968
299	0.3396259042
300	0.3396091623
301	0.3395783773
302	0.339530813
303	0.3394677828
304	0.3394225623
305	0.3393863756
306	0.3393086756
307	0.3392768129
308	0.3392356871
309	0.3391758466
310	0.3391327025
311	0.3391096605
312	0.3390573708
313	0.339026994
314	0.3389635832
315	0.3389334992
316	0.3389281569
317	0.338872516
318	0.3388282871
319	0.3387766022
320	0.3387361197
321	0.3386993313
322	0.3386445768
323	0.3386391516
324	0.3386134088
325	0.3385462542
326	0.3385254691
327	0.3384729545
