iter	Passed	Remaining
0	17	42740
1	59	74065
2	79	66150
3	97	60582
4	113	56526
5	128	53529
6	145	51677
7	163	50938
8	182	50386
9	199	49680
10	213	48292
11	225	46725
12	238	45553
13	256	45572
14	281	46572
15	295	45871
16	308	45059
17	321	44296
18	333	43509
19	344	42755
20	356	42045
21	367	41405
22	378	40751
23	391	40348
24	403	39940
25	416	39628
26	427	39154
27	437	38643
28	448	38213
29	460	37876
30	471	37522
31	481	37158
32	491	36738
33	501	36383
34	511	36053
35	522	35791
36	534	35589
37	546	35413
38	557	35206
39	569	35008
40	580	34795
41	591	34605
42	603	34469
43	613	34239
44	623	34039
45	635	33922
46	647	33806
47	660	33725
48	671	33580
49	683	33499
50	697	33488
51	708	33352
52	719	33213
53	730	33088
54	743	33041
55	755	32972
56	767	32898
57	779	32832
58	793	32817
59	804	32699
60	814	32577
61	825	32467
62	837	32382
63	848	32312
64	860	32228
65	871	32137
66	883	32076
67	895	32024
68	908	31998
69	919	31903
70	931	31858
71	943	31808
72	954	31736
73	967	31723
74	978	31649
75	989	31574
76	1001	31522
77	1012	31439
78	1023	31355
79	1036	31357
80	1049	31331
81	1062	31318
82	1074	31286
83	1086	31258
84	1098	31222
85	1111	31204
86	1125	31225
87	1138	31216
88	1152	31207
89	1168	31278
90	1180	31251
91	1192	31214
92	1205	31198
93	1216	31139
94	1226	31056
95	1238	31022
96	1249	30945
97	1259	30861
98	1270	30801
99	1280	30733
100	1290	30659
101	1301	30594
102	1311	30525
103	1321	30443
104	1331	30373
105	1342	30310
106	1352	30248
107	1362	30167
108	1371	30090
109	1381	30023
110	1392	29967
111	1403	29914
112	1413	29863
113	1423	29797
114	1434	29742
115	1444	29691
116	1455	29636
117	1465	29585
118	1476	29536
119	1485	29462
120	1494	29390
121	1505	29335
122	1515	29292
123	1526	29249
124	1538	29240
125	1548	29172
126	1558	29121
127	1568	29059
128	1578	29007
129	1589	28984
130	1599	28931
131	1609	28880
132	1620	28836
133	1631	28807
134	1641	28754
135	1651	28703
136	1661	28658
137	1670	28600
138	1680	28547
139	1690	28491
140	1699	28433
141	1708	28377
142	1718	28330
143	1729	28294
144	1739	28245
145	1748	28195
146	1758	28150
147	1767	28096
148	1777	28038
149	1786	27985
150	1796	27946
151	1806	27898
152	1815	27849
153	1824	27794
154	1833	27743
155	1844	27717
156	1856	27701
157	1880	27876
158	1896	27915
159	1911	27953
160	1925	27979
161	1946	28089
162	1960	28115
163	1974	28131
164	1996	28249
165	2015	28332
166	2028	28338
167	2039	28313
168	2051	28301
169	2064	28296
170	2075	28273
171	2089	28282
172	2102	28276
173	2114	28264
174	2126	28255
175	2138	28240
176	2150	28225
177	2164	28229
178	2176	28217
179	2187	28197
180	2200	28196
181	2213	28195
182	2226	28192
183	2238	28175
184	2250	28161
185	2260	28124
186	2271	28090
187	2281	28056
188	2295	28066
189	2307	28050
190	2321	28058
191	2332	28043
192	2344	28025
193	2355	27997
194	2368	27992
195	2383	28013
196	2396	28021
197	2409	28011
198	2421	27997
199	2433	27983
200	2446	27982
201	2460	27990
202	2471	27967
203	2484	27966
204	2496	27945
205	2507	27924
206	2519	27906
207	2530	27881
208	2542	27874
209	2555	27864
210	2566	27840
211	2578	27827
212	2590	27817
213	2601	27795
214	2614	27787
215	2625	27761
216	2642	27800
217	2660	27854
218	2676	27881
219	2693	27909
220	2705	27896
221	2716	27879
222	2728	27857
223	2739	27835
224	2750	27814
225	2762	27797
226	2774	27784
227	2787	27772
228	2798	27753
229	2810	27740
230	2822	27728
231	2835	27723
232	2850	27730
233	2876	27855
234	2902	27975
235	2922	28038
236	2940	28077
237	2960	28135
238	2979	28187
239	2993	28184
240	3009	28204
241	3026	28243
242	3041	28245
243	3054	28243
244	3066	28222
245	3078	28209
246	3090	28191
247	3102	28174
248	3114	28153
249	3127	28145
250	3139	28126
251	3152	28118
252	3164	28102
253	3176	28088
254	3187	28066
255	3199	28045
256	3211	28026
257	3223	28012
258	3235	27994
259	3249	27992
260	3261	27978
261	3274	27973
262	3286	27950
263	3297	27931
264	3310	27919
265	3324	27923
266	3336	27906
267	3349	27894
268	3361	27880
269	3374	27867
270	3385	27849
271	3398	27834
272	3411	27830
273	3423	27811
274	3437	27810
275	3449	27794
276	3461	27779
277	3473	27759
278	3486	27751
279	3498	27739
280	3511	27732
281	3523	27713
282	3536	27706
283	3549	27693
284	3562	27688
285	3575	27680
286	3587	27665
287	3599	27648
288	3611	27627
289	3624	27621
290	3635	27597
291	3647	27584
292	3660	27569
293	3672	27553
294	3683	27534
295	3695	27518
296	3707	27502
297	3720	27491
298	3733	27480
